Format Version,1.25,Take Name,Take 2026-01-05 06.23.38 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-05 06.23.39.046 下午,Capture Start Frame,526605,Total Frames in Take,2426,Total Exported Frames,2426,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175
,ID,"22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0"
,Parent,,,
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
131,1.091667,31.662949,123.218521,239.238831
132,1.100000,31.656578,123.198067,239.244659
133,1.108333,31.661417,123.193695,239.234009
134,1.116667,31.655996,123.192368,239.238052
135,1.125000,31.656538,123.213768,239.237732
136,1.133333,31.655987,123.219734,239.237320
137,1.141667,31.656832,123.204582,239.245514
138,1.150000,31.660120,123.210930,239.245255
139,1.158333,31.662811,123.220650,239.243729
140,1.166667,31.659216,123.218277,239.240143
141,1.175000,31.659166,123.217804,239.241150
142,1.183333,31.662186,123.208710,239.241989
143,1.191667,31.658054,123.210869,239.238663
144,1.200000,31.656277,123.203903,239.240677
145,1.208333,31.661682,123.205376,239.242172
146,1.216667,31.657406,123.218552,239.230530
147,1.225000,31.660915,123.217903,239.242645
148,1.233333,31.658772,123.211739,239.248901
149,1.241667,31.667061,123.235847,239.234955
150,1.250000,31.660135,123.222862,239.229309
151,1.258333,31.658857,123.195198,239.242844
152,1.266667,31.661886,123.201065,239.241196
153,1.275000,31.658133,123.194145,239.246140
154,1.283333,31.658720,123.205269,239.239670
155,1.291667,31.657446,123.179413,239.250031
156,1.300000,31.660955,123.206573,239.247757
157,1.308333,31.655293,123.200439,239.255356
158,1.316667,31.656183,123.208206,239.254852
159,1.325000,31.660114,123.211021,239.247452
160,1.333333,31.659882,123.212563,239.242889
161,1.341667,31.660358,123.201454,239.246140
162,1.350000,31.661428,123.206551,239.245773
163,1.358333,31.655670,123.198456,239.247437
164,1.366667,31.659245,123.199257,239.238388
165,1.375000,31.657934,123.189270,239.245865
166,1.383333,31.661932,123.220055,239.231583
167,1.391667,31.653862,123.207161,239.244354
168,1.400000,31.665192,123.218338,239.238693
169,1.408333,31.653479,123.186142,239.252365
170,1.416667,31.659256,123.197632,239.252914
171,1.425000,31.659885,123.217422,239.243088
172,1.433333,31.660549,123.203270,239.242798
